city;postal_code;medias_comma_separated;
Saint-Fargeau-Ponthierry;77310;4a4039aab4884,4f9547aaa4880;
CHATOU;78400;43de09aab4880;
Paris;75015;4dc029aab4884;
AUVERS ST GEORGES;91580;4c74a9aab4880;
ARPAJON;91290;468da9aab4880;
COURBEVOIE;92400;4cfb722982f80;
GUYANCOURT;78084;471f69aab4880;
CESSON;77240;442f69aab4880;
ST YRIEIX LA PERCHE;87500;4e12432982f80;
MASSY;91300;4df4a9aab4880;
ORGEVAL;78630;417bb9aab4881;
CLAYE SOUILLY;77410;4e0f99aab4880;
GENTILLY;94250;437f59aab4880;
PARIS 11EME ARRONDISSEMENT;75011;491ec9aab4880,4fa87821d4e80;
POMPONNE;77400;427df9aab4880;
Maule;78580;4de029aab4884;
LE KREMLIN BICETRE;94270;4d2bb9aab4880;
paris;75116;48cf69aab4880;
BOULOGNE BILLANCOURT;92100;4f9f89aab4880;
PARIS 15EME ARRONDISSEMENT;75015;4e2f99aab4880;
CHAMPIGNY SUR MARNE;94500;49dda9aab4880;
Domont Cedex;95331;460e09aab4880;
BAGNOLET;93170;47dec9aab4880;
NEUILLY SUR SEINE;92200;4fd989aab4880;
CHAVILLE;92370;4d13d9aab4880;
St-Ouen;93400;45fda9aab4880;
PARIS 14EME ARRONDISSEMENT;75014;403e69aab4881;
PARIS 3EME ARRONDISSEMENT;75003;43df89aab4880;
Saint Leu La Foret;95320;4a9f99aab4880,4981112aa4880;
VILLENEUVE LE COMTE;77174;4d1f99aab4880;
PARIS 17EME ARRONDISSEMENT;75017;481f69aab4880;
Chaville;92370;4ac3d9aab4880;
FONTENAY AUX ROSES;92260;4e7e69aab4880;
Sèvres;92310;44df69aab4880;
LEVALLOIS PERRET;92300;4c9919aab4880;
LE PECQ;78230;4dc3d9aab4880;
PARIS 8EME ARRONDISSEMENT;75008;4d9e69aab4880;
PARIS 9EME ARRONDISSEMENT;75009;4a9fe3a982f80;
Paris la Défense;92079;45a053a982f90,4b4497aaa4880;
Dairy Cottage,Sherborne,GL54 3DW,Cheltenham, Glos. UK;;4ec029aab4884;
PARIS 15EME ARRONDISSEMENT;75015;4fbf89aab4880;
ST CYR L ECOLE;78210;49f3d9aab4880;
L ISLE ADAM;95290;4cc4a9aab4880;
CREPY EN VALOIS;60800;46ee09aab4880;
Paris;75008;447ec9aab4880;
LE RAINCY;93340;4bb3d9aab4880;
LYON 3EME ARRONDISSEMENT;69003;4e21d32982f80;
PARIS;75013;4eebb9aab4880;
Paris;75116;4da029aab4884;
LEVALLOIS PERRET;92300;4ba4a9aab4880;
Paris;75017;44cf69aab4880;
PARIS 17EME ARRONDISSEMENT;75017;4e24a9aab4880;
LE CHESNAY;78150;4d24a9aab4880;
COURBEVOIE;92400;474f89aab4880;
MEUDON;92190;4e4589aab4880;
BOULOGNE BILLANCOURT;92100;457f89aab4880;
Paris;75116;4c84a9aab4880;
NEUILLY SUR SEINE;92200;47c809aab4880,480ec9aab4880;
Paris;75116;49c0a9aab4880,477809aab4880;
SAINT - EGREVE Cedex;38521;43bf69aab4880,4d3d6821d4e80;
VILLEJUIF;94800;4d4bb9aab4880;
VEDENE;84270;49f1c32982f80;
PARIS;75014;4c40a9aab4880;
PARIS 18EME ARRONDISSEMENT;75018;464f69aab4880;
ANNET SUR MARNE;77410;4cf3d9aab4880;
CLICHY SOUS BOIS;93390;4bf063a982f90;
CLICHY SOUS BOIS;93390;4a30a9aab4880;
PARIS 12EME ARRONDISSEMENT;75012;423c19aab4880;
CHATOU;78400;42adf9aab4880;
PARIS 15EME ARRONDISSEMENT;75015;477ec9aab4880;
Fourqueux;78112;4def99aab4880;
LYON 2EME ARRONDISSEMENT;69002;45ef89aab4880;
PARIS 15EME ARRONDISSEMENT;75015;447f89aab4880,4a2c3d21a4e80;
PONTAULT COMBAULT;77340;45dc19aab4880;
Paris;75019;44cda9aab4880;
BOULOGNE BILLANCOURT;92100;4900a9aab4880;
PARIS 19EME ARRONDISSEMENT;75019;4ede79aab4880;
PARIS 15EME ARRONDISSEMENT;75015;4ba589aab4880;
PARIS 15EME ARRONDISSEMENT;75015;410bb9aab4881;
Saint Germain en Laye;78100;45cda9aab4880;
PARIS 7EME ARRONDISSEMENT;75007;4e6bb9aab4880;
LE VAL ST GERMAIN;91530;4b4039aab4884;
MAISONS ALFORT;94700;4b63d9aab4880;
CHATILLON;92320;4bd0b9aab4880;
PARIS 19EME ARRONDISSEMENT;75019;4880a9aab4880;
IGNY;91430;4974a9aab4880;
49,rue Georges Emmanuel,B-5020,FLAWINNE;;4db163a982f90;
saint maur des fossés;94100;456f89aab4880;
Montreuil;93100;4a90a9aab4880;
LES MESNULS;78490;4d64a9aab4880;
PARIS 11EME ARRONDISSEMENT;75011;4ede69aab4880;
PARIS 8EME ARRONDISSEMENT;75008;4c5039aab4884,45a809aab4880;
LINAS;91310;4d99bf23e3e80;
PARIS LA DEFENSE CEDEX;92095;475f69aab4880;
PARIS 9EME ARRONDISSEMENT;75009;433e09aab4880;
