_id;stationSupervisedRef;chargePointSupervisedRef;plugSupervisedRef;startDate;startingMediumCode;stopDate;stopReason;stoppingMediumCode
5915e580e4b069e653141d8b;FR*SOD*S*BELI*30*1*_*_;FR*SOD*E*BELI*30*1*3*_;FR*SOD*X*BELI*30*1*3*3;1494607218;48da37aaa4880;1494609673;Badge;48da37aaa4880
5915e581e4b069e653141d92;FR*SOD*S*BELI*22*1*_*_;FR*SOD*E*BELI*22*1*3*_;FR*SOD*X*BELI*22*1*3*4;1494607208;492ded21a4e80;1494609155;End Of Charge;
5915e3f6e4b069e6531415ca;FR*SOD*S*BELI*6*1*_*_;FR*SOD*E*BELI*6*1*3*_;FR*SOD*X*BELI*6*1*3*1;1494606783;4d307d21a4e84;1494608895;Badge;4d307d21a4e84
5915e361e4b069e6531413a1;FR*SOD*S*BELI*6*1*_*_;FR*SOD*E*BELI*6*1*3*_;FR*SOD*X*BELI*6*1*3*1;1494606618;4d307d21a4e84;1494606723;Badge;4d307d21a4e84
5915d85be4b069e65313db2b;FR*SOD*S*BELI*59*1*_*_;FR*SOD*E*BELI*59*1*1*_;FR*SOD*X*BELI*59*1*1*5;1494603835;42dd9d21a4e80;1494606766;Remote Stop;
5915d60ae4b069e65313ce33;FR*SOD*S*BELI*18*1*_*_;FR*SOD*E*BELI*18*1*2*_;FR*SOD*X*BELI*18*1*2*1;1494603233;428a9921d4e81;1494604776;Badge;428a9921d4e81
5915ccd2e4b069e65313945b;FR*SOD*S*BELI*3*1*_*_;FR*SOD*E*BELI*3*1*2*_;FR*SOD*X*BELI*3*1*2*1;1494600888;45256921d4e80;1494603511;Badge;45256921d4e80
5915ccb6e4b069e653139383;FR*SOD*S*BELI*5*1*_*_;FR*SOD*E*BELI*5*1*1*_;FR*SOD*X*BELI*5*1*1*5;1494600861;474a5921d4e80;1494602407;Badge;474a5921d4e80
5915c699e4b069e6531371cf;FR*SOD*S*BELI*16*1*_*_;FR*SOD*E*BELI*16*1*3*_;FR*SOD*X*BELI*16*1*3*4;1494599304;45fce821d4e80;1494600221;Badge;45fce821d4e80
5915c518e4b069e653136980;FR*SOD*S*BELI*53*1*_*_;FR*SOD*E*BELI*53*1*1*_;FR*SOD*X*BELI*53*1*1*6;1494598883;437c5d21a4e80;1494600402;Badge;437c5d21a4e80
5915c005e4b069e653134ab4;FR*SOD*S*BELI*14*1*_*_;FR*SOD*E*BELI*14*1*3*_;FR*SOD*X*BELI*14*1*3*1;1494597611;448ec9aab4880;1494605457;Badge;448ec9aab4880
5915c014e4b069e653134b2c;FR*SOD*S*BELI*5*1*_*_;FR*SOD*E*BELI*5*1*1*_;FR*SOD*X*BELI*5*1*1*5;1494597511;449ced21a4e80;1494598359;Badge;449ced21a4e80
5915bf0fe4b069e65313438e;FR*SOD*S*BELI*15*1*_*_;FR*SOD*E*BELI*15*1*3*_;FR*SOD*X*BELI*15*1*3*5;1494597376;410c57aaa4881;1494599060;Badge;410c57aaa4881
5915b9c2e4b069e653132286;FR*SOD*S*BELI*53*1*_*_;FR*SOD*E*BELI*53*1*3*_;FR*SOD*X*BELI*53*1*3*5;1494595989;435d1821d4e80;1494598010;Badge;435d1821d4e80
5915b942e4b069e65313200c;FR*SOD*S*BELI*16*1*_*_;FR*SOD*E*BELI*16*1*3*_;FR*SOD*X*BELI*16*1*3*4;1494595882;45fce821d4e80;1494599273;Badge;45fce821d4e80
5915b6d8e4b069e65313114c;FR*SOD*S*BELI*26*1*_*_;FR*SOD*E*BELI*26*1*3*_;FR*SOD*X*BELI*26*1*3*1;1494595240;4beaa921d4e80;1494598309;Badge;4beaa921d4e80
5915b30ee4b069e65312fa22;FR*SOD*S*BELI*42*1*_*_;FR*SOD*E*BELI*42*1*3*_;FR*SOD*X*BELI*42*1*3*4;1494594305;4a6327aaa4880;1494596275;End Of Charge;
5915ac4ae4b069e65312cd09;FR*SOD*S*BELI*47*1*_*_;FR*SOD*E*BELI*47*1*3*_;FR*SOD*X*BELI*47*1*3*2;1494592572;4d3237aaa4880;1494594397;Badge;4d3237aaa4880
5915ab2be4b069e65312c63c;FR*SOD*S*BELI*15*1*_*_;FR*SOD*E*BELI*15*1*3*_;FR*SOD*X*BELI*15*1*3*5;1494592267;404937aaa4881;1494592601;Badge;404937aaa4881
5915a9ebe4b069e65312bd05;FR*SOD*S*BELI*15*1*_*_;FR*SOD*E*BELI*15*1*3*_;FR*SOD*X*BELI*15*1*3*5;1494591913;4a0b67aaa4880;1494592210;Badge;4a0b67aaa4880
5915a910e4b069e65312b767;FR*SOD*S*BELI*30*1*_*_;FR*SOD*E*BELI*30*1*3*_;FR*SOD*X*BELI*30*1*3*3;1494591740;4a6327aaa4880;1494592163;Badge;4a6327aaa4880
5915a8dbe4b069e65312b5f7;FR*SOD*S*BELI*15*1*_*_;FR*SOD*E*BELI*15*1*1*_;FR*SOD*X*BELI*15*1*1*4;1494591687;43ab27aaa4880;1494593163;Badge;43ab27aaa4880
5915a358e4b069e653129412;FR*SOD*S*BELI*21*1*_*_;FR*SOD*E*BELI*21*1*3*_;FR*SOD*X*BELI*21*1*3*4;1494590239;4f48d7aaa4880;1494591625;Badge;4f48d7aaa4880
5915a25ae4b069e653128e0b;FR*SOD*S*BELI*42*1*_*_;FR*SOD*E*BELI*42*1*3*_;FR*SOD*X*BELI*42*1*3*4;1494589952;405617aaa4881;1494591080;End Of Charge;
59159ffae4b069e6531280fa;FR*SOD*S*BELI*42*1*_*_;FR*SOD*E*BELI*42*1*1*_;FR*SOD*X*BELI*42*1*1*4;1494589415;44db07aaa4880;1494590305;Badge;44db07aaa4880
59159af3e4b069e65312666f;FR*SOD*S*BELI*12*1*_*_;FR*SOD*E*BELI*12*1*1*_;FR*SOD*X*BELI*12*1*1*1;1494588120;4552f7aaa4880;1494589530;End Of Charge;
591599e8e4b069e653125f9a;FR*SOD*S*BELI*6*1*_*_;FR*SOD*E*BELI*6*1*3*_;FR*SOD*X*BELI*6*1*3*1;1494587851;4f0e69aab4880;1494591376;Badge;4f0e69aab4880
5915992ae4b069e653125c42;FR*SOD*S*BELI*28*1*_*_;FR*SOD*E*BELI*28*1*1*_;FR*SOD*X*BELI*28*1*1*4;1494587666;425e09aab4880;1494591917;Badge;425e09aab4880
591595a8e4b069e6531248d8;FR*SOD*S*BELI*10*1*_*_;FR*SOD*E*BELI*10*1*3*_;FR*SOD*X*BELI*10*1*3*2;1494586695;45be0d21a4e80;1494592333;Cable Unlock;
591594e9e4b069e65312443a;FR*SOD*S*BELI*47*1*_*_;FR*SOD*E*BELI*47*1*1*_;FR*SOD*X*BELI*47*1*1*4;1494586585;4d4a17aaa4880;1494588763;End Of Charge;
59159440e4b069e65312413f;FR*SOD*S*BELI*59*1*_*_;FR*SOD*E*BELI*59*1*3*_;FR*SOD*X*BELI*59*1*3*6;1494586384;4ea377aaa4880;1494591679;Badge;4ea377aaa4880
591590d1e4b069e653122d13;FR*SOD*S*BELI*4*1*_*_;FR*SOD*E*BELI*4*1*3*_;FR*SOD*X*BELI*4*1*3*4;1494585512;4a1f8821d4e80;1494592157;Cable Unlock;
591590a2e4b069e653122bd2;FR*SOD*S*BELI*47*1*_*_;FR*SOD*E*BELI*47*1*3*_;FR*SOD*X*BELI*47*1*3*2;1494585484;49cd5821d4e80;1494588723;Badge;49cd5821d4e80
59158eb1e4b069e653121f8a;FR*SOD*S*BELI*47*1*_*_;FR*SOD*E*BELI*47*1*1*_;FR*SOD*X*BELI*47*1*1*4;1494584970;4d4a17aaa4880;1494586545;End Of Charge;
591588fbe4b069e65311fc12;FR*SOD*S*BELI*1*1*_*_;FR*SOD*E*BELI*1*1*3*_;FR*SOD*X*BELI*1*1*3*4;1494583522;425e09aab4880;1494586305;Badge;425e09aab4880
591588efe4b069e65311fbe2;FR*SOD*S*BELI*28*1*_*_;FR*SOD*E*BELI*28*1*1*_;FR*SOD*X*BELI*28*1*1*4;1494583498;430d6821d4e80;1494586261;End Of Charge;
59158841e4b069e65311f7ea;FR*SOD*S*BELI*2*1*_*_;FR*SOD*E*BELI*2*1*1*_;FR*SOD*X*BELI*2*1*1*4;1494583340;43a837aaa4880;1494586668;Badge;43a837aaa4880
59158593e4b069e65311e5ca;FR*SOD*S*BELI*51*1*_*_;FR*SOD*E*BELI*51*1*1*_;FR*SOD*X*BELI*51*1*1*5;1494582647;4a8fad21a4e80;1494584210;End Of Charge;
59158577e4b069e65311e51b;FR*SOD*S*BELI*20*1*_*_;FR*SOD*E*BELI*20*1*3*_;FR*SOD*X*BELI*20*1*3*3;1494582594;43d8c821d4e80;1494585844;Badge;43d8c821d4e80
59158551e4b069e65311e40f;FR*SOD*S*BELI*57*1*_*_;FR*SOD*E*BELI*57*1*1*_;FR*SOD*X*BELI*57*1*1*4;1494582535;462f8821d4e80;1494585131;Badge;462f8821d4e80
591584bce4b069e65311deb5;FR*SOD*S*BELI*3*1*_*_;FR*SOD*E*BELI*3*1*1*_;FR*SOD*X*BELI*3*1*1*6;1494582421;4dcd5821d4e80;1494583457;Badge;4dcd5821d4e80
59158291e4b069e65311ce74;FR*SOD*S*BELI*42*1*_*_;FR*SOD*E*BELI*42*1*1*_;FR*SOD*X*BELI*42*1*1*4;1494581853;456e1d21a4e80;1494583420;End Of Charge;
59157fefe4b069e65311ba3f;FR*SOD*S*BELI*26*1*_*_;FR*SOD*E*BELI*26*1*1*_;FR*SOD*X*BELI*26*1*1*6;1494581193;488a37aaa4880;1494582462;End Of Charge;
59157d41e4b069e65311a94e;FR*SOD*S*BELI*17*1*_*_;FR*SOD*E*BELI*17*1*1*_;FR*SOD*X*BELI*17*1*1*3;1494580508;478ab921d4e80;1494584070;Badge;478ab921d4e80
59157d3ce4b069e65311a93a;FR*SOD*S*BELI*26*1*_*_;FR*SOD*E*BELI*26*1*3*_;FR*SOD*X*BELI*26*1*3*1;1494580477;4a6ccd21a4e80;1494584619;Badge;4a6ccd21a4e80
591579bae4b069e653119592;FR*SOD*S*BELI*1*1*_*_;FR*SOD*E*BELI*1*1*3*_;FR*SOD*X*BELI*1*1*3*4;1494579591;45bd1821d4e80;1494581120;Badge;45bd1821d4e80
591577f0e4b069e653118c01;FR*SOD*S*BELI*9*1*_*_;FR*SOD*E*BELI*9*1*3*_;FR*SOD*X*BELI*9*1*3*1;1494579149;42f457aaa4880;1494579333;Badge;42f457aaa4880
59157574e4b069e653117c38;FR*SOD*S*BELI*20*1*_*_;FR*SOD*E*BELI*20*1*3*_;FR*SOD*X*BELI*20*1*3*3;1494578508;4f48d7aaa4880;1494581917;Badge;4f48d7aaa4880
59157530e4b069e653117a56;FR*SOD*S*BELI*26*1*_*_;FR*SOD*E*BELI*26*1*3*_;FR*SOD*X*BELI*26*1*3*1;1494578462;44f1d7aaa4880;1494580262;Badge;44f1d7aaa4880
59157527e4b069e653117a1d;FR*SOD*S*BELI*13*1*_*_;FR*SOD*E*BELI*13*1*1*_;FR*SOD*X*BELI*13*1*1*1;1494578440;425e09aab4880;1494580911;Badge;425e09aab4880
59156fcbe4b069e6531158fe;FR*SOD*S*BELI*21*1*_*_;FR*SOD*E*BELI*21*1*3*_;FR*SOD*X*BELI*21*1*3*4;1494577066;47aae821d4e80;1494578237;Badge;47aae821d4e80
59156ebde4b069e653115325;FR*SOD*S*BELI*26*1*_*_;FR*SOD*E*BELI*26*1*1*_;FR*SOD*X*BELI*26*1*1*6;1494576800;44f1d7aaa4880;1494576858;End Of Charge;
59156e36e4b069e653114ee6;FR*SOD*S*BELI*9*1*_*_;FR*SOD*E*BELI*9*1*1*_;FR*SOD*X*BELI*9*1*1*3;1494576675;47cc19aab4880;1494579370;;
5915b193e4b069e65312efbb;FR*SOD*S*BELI*9*1*_*_;FR*SOD*E*BELI*9*1*1*_;FR*SOD*X*BELI*9*1*1*3;1494576675;47cc19aab4880;1494579370;;
59156df2e4b069e653114ccd;FR*SOD*S*BELI*15*1*_*_;FR*SOD*E*BELI*15*1*1*_;FR*SOD*X*BELI*15*1*1*4;1494576607;43ab27aaa4880;1494582162;Badge;43ab27aaa4880
59156c66e4b069e65311443d;FR*SOD*S*BELI*26*1*_*_;FR*SOD*E*BELI*26*1*1*_;FR*SOD*X*BELI*26*1*1*6;1494576170;44f1d7aaa4880;1494576281;End Of Charge;
591566e4e4b069e653112344;FR*SOD*S*BELI*26*1*_*_;FR*SOD*E*BELI*26*1*3*_;FR*SOD*X*BELI*26*1*3*1;1494574783;48da37aaa4880;1494577650;Badge;48da37aaa4880
59156368e4b069e653110e2a;FR*SOD*S*BELI*6*1*_*_;FR*SOD*E*BELI*6*1*3*_;FR*SOD*X*BELI*6*1*3*1;1494573881;4ede79aab4880;1494575691;Cable Unlock;
59155eb9e4b069e65310f33f;FR*SOD*S*BELI*57*1*_*_;FR*SOD*E*BELI*57*1*1*_;FR*SOD*X*BELI*57*1*1*4;1494572691;474a5921d4e80;1494574195;Badge;474a5921d4e80
59155dffe4b069e65310eeb7;FR*SOD*S*BELI*42*1*_*_;FR*SOD*E*BELI*42*1*3*_;FR*SOD*X*BELI*42*1*3*4;1494572514;4e0ad921d4e80;1494583217;End Of Charge;
