"Start","End","Day","Weekend","Arrival","Charge.Duration","Idle.Duration","Park.Duration","Energy"
2019-04-23 09:10:13,2019-04-23 18:44:07,"Tuesday",0,9.17,316.366666666667,257.533333333333,573.9,32.45
2019-04-23 18:01:27,2019-04-23 20:54:11,"Wednesday",0,18.02,172.6,0.133333333333326,172.733333333333,17.778
2019-04-24 09:35:27,2019-04-24 17:42:51,"Wednesday",0,9.58,54.5,432.9,487.4,4.738
2019-04-24 11:26:28,2019-04-24 18:46:59,"Wednesday",0,11.43,261.466666666667,179.05,440.516666666667,14.265
2019-04-24 14:07:14,2019-04-24 20:42:29,"Wednesday",0,14.12,394.983333333333,0.266666666666652,395.25,40.12
2019-04-25 11:36:12,2019-04-25 18:13:01,"Thursday",0,11.6,192.033333333333,204.783333333333,396.816666666667,10.415
2019-04-25 12:18:38,2019-04-25 13:40:01,"Thursday",0,12.3,81.2333333333333,0.150000000000006,81.3833333333333,5.035
2019-04-25 13:32:45,2019-04-25 14:06:10,"Thursday",0,13.53,33.2833333333333,0.133333333333333,33.4166666666667,3.414
2019-04-25 13:57:18,2019-04-25 18:13:23,"Thursday",0,13.95,54.1166666666667,201.966666666667,256.083333333333,5.194
2019-04-25 14:31:51,2019-04-25 16:50:26,"Thursday",0,14.52,138.45,0.133333333333354,138.583333333333,14.397
2019-04-25 17:21:38,2019-04-25 20:59:45,"Friday",0,17.35,146.25,71.8666666666667,218.116666666667,13.599
2019-04-26 09:27:48,2019-04-26 17:08:56,"Friday",0,9.45,287,174.133333333333,461.133333333333,26.609
2019-04-26 09:28:41,2019-04-26 17:01:08,"Friday",0,9.47,52.9166666666667,399.533333333333,452.45,5.029
2019-04-26 11:44:47,2019-04-26 18:07:14,"Friday",0,11.73,383.416666666667,-0.966666666666697,382.45,37.153
2019-04-26 17:37:50,2019-04-26 21:11:53,"Saturday",1,17.62,203,11.05,214.05,17.461
2019-04-26 18:07:22,2019-04-26 18:45:11,"Saturday",1,18.12,37.6833333333333,0.13333333333334,37.8166666666667,3.965
2019-04-29 09:40:53,2019-04-29 18:05:34,"Monday",0,9.67,50.5,454.183333333333,504.683333333333,4.424
2019-04-29 11:23:58,2019-04-29 18:37:39,"Monday",0,11.38,253.05,180.633333333333,433.683333333333,13.725
2019-04-30 09:03:05,2019-04-30 18:44:33,"Tuesday",0,9.05,303.966666666667,277.5,581.466666666667,30.94
2019-04-30 09:38:27,2019-04-30 17:39:13,"Tuesday",0,9.63,54.5666666666667,426.2,480.766666666667,5.219
2019-04-30 10:37:48,2019-04-30 14:28:39,"Tuesday",0,10.62,230.583333333333,0.266666666666652,230.85,23.509
2019-04-30 14:22:23,2019-04-30 20:38:16,"Tuesday",0,14.37,332.583333333333,43.3,375.883333333333,33.127
2019-05-01 09:05:37,2019-05-01 16:16:51,"Wednesday",0,9.08,64.35,366.883333333333,431.233333333333,5.763
2019-05-01 10:16:32,2019-05-01 17:49:28,"Wednesday",0,10.27,219.433333333333,233.5,452.933333333333,18.646
2019-05-01 11:17:24,2019-05-01 18:57:29,"Wednesday",0,11.28,222.9,237.183333333333,460.083333333333,12.335
2019-05-02 09:35:06,2019-05-02 16:06:25,"Thursday",0,9.58,53.5833333333333,337.733333333333,391.316666666667,4.719
2019-05-02 11:26:16,2019-05-02 19:00:38,"Thursday",0,11.43,172.916666666667,281.45,454.366666666667,9.562
2019-05-02 14:31:02,2019-05-02 20:47:57,"Thursday",0,14.52,345.45,31.4666666666667,376.916666666667,33.745
2019-05-03 09:03:46,2019-05-03 14:32:33,"Friday",0,9.05,63.1166666666667,265.666666666667,328.783333333333,5.661
2019-05-03 11:21:36,2019-05-03 12:04:49,"Friday",0,11.35,43.15,0.06666666666667,43.2166666666667,2.428
2019-05-03 11:24:51,2019-05-03 12:09:59,"Friday",0,11.4,45.05,0.0833333333333357,45.1333333333333,4.795
2019-05-03 12:34:27,2019-05-03 18:31:13,"Friday",0,12.57,356.55,0.21666666666664,356.766666666667,35.912
2019-05-03 13:43:44,2019-05-03 18:36:12,"Friday",0,13.72,163.716666666667,128.75,292.466666666667,9.102
2019-05-03 15:14:14,2019-05-03 20:19:38,"Friday",0,15.23,132.2,173.2,305.4,13.159
2019-05-06 09:37:00,2019-05-06 17:03:33,"Monday",0,9.62,56.3333333333333,390.216666666667,446.55,5.016
2019-05-06 10:43:28,2019-05-06 17:43:06,"Monday",0,10.72,347.366666666667,72.2666666666667,419.633333333333,35.446
2019-05-06 10:46:24,2019-05-06 18:11:31,"Monday",0,10.77,444.9,0.216666666666697,445.116666666667,42.839
2019-05-06 11:56:05,2019-05-06 17:40:49,"Monday",0,11.93,267.566666666667,77.1666666666667,344.733333333333,14.962
2019-05-06 16:08:14,2019-05-06 21:39:55,"Monday",0,16.13,324.7,6.98333333333335,331.683333333333,32.805
2019-05-07 09:41:43,2019-05-07 17:48:36,"Tuesday",0,9.68,57.6666666666667,429.216666666667,486.883333333333,5.187
2019-05-08 09:38:38,2019-05-08 14:53:22,"Wednesday",0,9.63,66.3333333333333,248.4,314.733333333333,6.008
2019-05-08 11:33:21,2019-05-08 18:09:39,"Wednesday",0,11.55,244.183333333333,152.116666666667,396.3,13.604
2019-05-09 09:39:29,2019-05-09 10:40:42,"Thursday",0,9.65,62.1833333333333,-0.966666666666661,61.2166666666667,5.289
2019-05-09 11:23:22,2019-05-09 18:55:18,"Thursday",0,11.38,181.783333333333,270.15,451.933333333333,10.211
2019-05-09 11:57:48,2019-05-09 16:46:39,"Thursday",0,11.95,288.716666666667,0.133333333333383,288.85,30.608
2019-05-09 12:33:40,2019-05-09 17:01:14,"Thursday",0,12.55,11.4166666666667,256.15,267.566666666667,1.079
2019-05-09 14:56:36,2019-05-09 21:08:20,"Thursday",0,14.93,368.833333333333,2.90000000000003,371.733333333333,37.732
2019-05-10 08:56:59,2019-05-10 16:01:20,"Friday",0,8.93,68.1666666666667,356.183333333333,424.35,6.159
2019-05-10 09:28:31,2019-05-10 19:08:32,"Friday",0,9.47,269.666666666667,310.35,580.016666666667,25.117
2019-05-10 11:32:38,2019-05-10 19:22:06,"Friday",0,11.53,185.716666666667,283.75,469.466666666667,10.304
2019-05-10 15:37:46,2019-05-10 20:21:18,"Friday",0,15.62,128.2,155.333333333333,283.533333333333,13.008
2019-05-13 09:03:07,2019-05-13 17:21:33,"Monday",0,9.05,53.3833333333333,445.05,498.433333333333,4.682
2019-05-13 10:57:40,2019-05-13 17:46:11,"Monday",0,10.95,180.15,228.366666666667,408.516666666667,10.031
2019-05-13 14:10:36,2019-05-13 20:18:36,"Monday",0,14.17,367.8,0.199999999999989,368,35.781
2019-05-13 15:10:48,2019-05-13 19:45:25,"Monday",0,15.17,64.1,210.516666666667,274.616666666667,6.852
2019-05-14 09:36:09,2019-05-14 17:04:36,"Tuesday",0,9.6,63.1166666666667,385.333333333333,448.45,5.674
2019-05-15 09:33:43,2019-05-15 17:04:36,"Wednesday",0,9.55,59.6333333333333,391.25,450.883333333333,5.347
2019-05-15 10:04:56,2019-05-15 14:59:46,"Wednesday",0,10.07,294.616666666667,0.21666666666664,294.833333333333,31.445
2019-05-15 10:47:37,2019-05-15 17:03:26,"Wednesday",0,10.78,217.65,158.166666666667,375.816666666667,12.25
2019-05-16 09:03:07,2019-05-16 17:54:23,"Thursday",0,9.05,348.616666666667,182.65,531.266666666667,36.643
2019-05-16 09:38:27,2019-05-16 18:23:21,"Thursday",0,9.63,60.6666666666667,464.233333333333,524.9,5.937
2019-05-16 11:10:36,2019-05-16 18:53:34,"Thursday",0,11.17,209.833333333333,253.133333333333,462.966666666667,11.844
2019-05-16 18:22:50,2019-05-16 21:27:55,"Friday",0,18.37,184.933333333333,0.150000000000006,185.083333333333,18.984
2019-05-17 09:38:00,2019-05-17 13:25:39,"Friday",0,9.63,227.5,0.150000000000006,227.65,24.133
2019-05-17 11:26:33,2019-05-17 18:48:34,"Friday",0,11.43,193.233333333333,248.783333333333,442.016666666667,10.819
2019-05-17 13:16:53,2019-05-17 20:45:28,"Friday",0,13.27,315.05,133.533333333333,448.583333333333,32.317
2019-05-20 11:15:11,2019-05-20 18:39:38,"Monday",0,11.25,139.233333333333,305.216666666667,444.45,7.709
2019-05-21 10:10:25,2019-05-21 17:59:02,"Tuesday",0,10.17,468.416666666667,0.199999999999989,468.616666666667,46.311
2019-05-21 12:17:58,2019-05-21 13:28:14,"Tuesday",0,12.28,70.2,0.0666666666666629,70.2666666666667,3.621
2019-05-21 13:40:32,2019-05-21 20:40:45,"Tuesday",0,13.67,420.066666666667,0.149999999999977,420.216666666667,42.593
2019-05-22 09:26:52,2019-05-22 17:35:23,"Wednesday",0,9.43,68.1,420.416666666667,488.516666666667,6.139
2019-05-22 17:33:41,2019-05-22 21:01:13,"Thursday",0,17.55,147.3,60.2333333333333,207.533333333333,14.958
2019-05-23 10:27:59,2019-05-23 15:08:43,"Thursday",0,10.45,181,99.7333333333333,280.733333333333,20.03287
2019-05-23 10:44:54,2019-05-23 14:48:34,"Thursday",0,10.73,68.2833333333333,175.383333333333,243.666666666667,6.96635805555556
