"Start","End","Day","Weekend","Arrival","Charge.Duration","Park.Duration","Energy"
2018-01-18 20:37:00,2018-01-18 21:08:00,"Thursday",0,20.62,31.1166666666667,31.3333333333333,2.836
2018-01-18 21:18:00,2018-01-18 21:51:00,"Thursday",0,21.3,32.8666666666667,33.1666666666667,3.351
2018-01-18 21:45:00,2018-01-18 22:16:00,"Thursday",0,21.75,31.0166666666667,31.2166666666667,3.011
2018-01-18 22:28:00,2018-01-18 23:42:00,"Thursday",0,22.47,73.3166666666667,73.6166666666667,4.393
2018-01-19 02:05:00,2018-01-19 13:54:00,"Friday",0,2.08,239.2,709.483333333333,15.456
2018-01-19 17:59:00,2018-01-19 19:19:00,"Friday",0,17.98,79.4666666666667,79.9666666666667,8.667
2018-01-19 19:32:00,2018-01-19 20:14:00,"Friday",0,19.53,41.65,41.9833333333333,2.584
2018-01-19 20:55:00,2018-01-19 21:36:00,"Friday",0,20.92,40.7833333333333,40.9833333333333,4.445
2018-01-19 23:26:00,2018-01-20 00:21:00,"Friday",0,23.43,55.3,55.4,5.935
2018-01-20 00:43:00,2018-01-20 02:22:00,"Saturday",1,0.72,99.2,99.5666666666667,8.915
2018-01-20 14:29:00,2018-01-20 16:22:00,"Saturday",1,14.48,112.683333333333,112.983333333333,4.608
2018-01-20 18:42:00,2018-01-20 22:27:00,"Saturday",1,18.7,142.25,225.65,8.786
2018-01-20 18:51:00,2018-01-20 19:54:00,"Saturday",1,18.85,62.8333333333333,63.0166666666667,4.94
2018-01-20 21:54:00,2018-01-20 22:52:00,"Saturday",1,21.9,58.4166666666667,58.55,3.023
2018-01-21 03:21:00,2018-01-21 15:06:00,"Sunday",1,3.35,189.4,704.583333333333,8.738
2018-01-21 21:19:00,2018-01-21 23:12:00,"Sunday",1,21.32,113.45,113.633333333333,11.336
2018-01-22 00:27:00,2018-01-22 14:41:00,"Monday",0,0.45,293.15,854.633333333333,19.976
2018-01-22 17:04:00,2018-01-22 23:15:00,"Monday",0,17.07,126.716666666667,371.216666666667,6.62
2018-01-22 18:22:00,2018-01-23 16:41:00,"Monday",0,18.37,134.1,1338.43333333333,4.792
2018-01-22 19:53:00,2018-01-22 21:47:00,"Monday",0,19.88,113.083333333333,113.316666666667,6.899
2018-01-22 21:00:00,2018-01-22 22:19:00,"Monday",0,21,78.7833333333333,79.05,4.776
2018-01-22 22:23:00,2018-01-23 01:48:00,"Monday",0,22.38,204.15,204.466666666667,9.68
2018-01-22 23:01:00,2018-01-22 23:04:00,"Monday",0,23.02,2,2.31666666666667,0.116
2018-01-23 15:08:00,2018-01-23 20:48:00,"Tuesday",0,15.13,291.766666666667,339.95,18.708
2018-01-23 18:25:00,2018-01-23 18:59:00,"Tuesday",0,18.42,34.4333333333333,34.6166666666667,2.165
