"Start","End","Day","Weekend","Arrival","Park.Duration","Energy"
2017-01-10 02:02:00,2017-01-10 02:58:00,"Tuesday",0,2.03,56,10.33
2017-01-10 02:03:00,2017-01-10 02:23:00,"Tuesday",0,2.05,20,12
2017-01-10 02:05:00,2017-01-10 02:26:00,"Tuesday",0,2.08,21,15
2017-01-10 02:27:00,2017-01-10 02:58:00,"Tuesday",0,2.45,31,13.28
2017-01-10 02:29:00,2017-01-10 02:46:00,"Tuesday",0,2.48,17,12.23
2017-01-10 02:45:00,2017-01-10 03:10:00,"Tuesday",0,2.75,25,12.19
2017-01-10 03:00:00,2017-01-10 03:13:00,"Tuesday",0,3,13,7.64
2017-01-10 03:12:00,2017-01-10 04:12:00,"Tuesday",0,3.2,60,17.67
2017-01-10 03:15:00,2017-01-10 03:46:00,"Tuesday",0,3.25,31,15.45
2017-01-10 03:16:00,2017-01-10 03:30:00,"Tuesday",0,3.27,14,9.98
2017-01-10 03:20:00,2017-01-10 06:52:00,"Tuesday",0,3.33,212,8.85
2017-01-10 03:45:00,2017-01-10 04:06:00,"Tuesday",0,3.75,21,14.73
2017-01-10 03:47:00,2017-01-10 04:24:00,"Tuesday",0,3.78,37,15.73
2017-01-10 04:09:00,2017-01-10 04:10:00,"Tuesday",0,4.15,1,0.58
2017-01-10 04:15:00,2017-01-10 04:27:00,"Tuesday",0,4.25,12,8.88
2017-01-10 04:18:00,2017-01-10 04:55:00,"Tuesday",0,4.3,37,24.28
2017-01-10 04:32:00,2017-01-10 04:55:00,"Tuesday",0,4.53,23,13.94
2017-01-10 04:33:00,2017-01-10 04:52:00,"Tuesday",0,4.55,19,13.83
2017-01-10 04:56:00,2017-01-10 05:06:00,"Tuesday",0,4.93,10,6.89
2017-01-10 04:56:00,2017-01-10 05:07:00,"Tuesday",0,4.93,11,8.37
2017-01-10 05:25:00,2017-01-10 05:39:00,"Tuesday",0,5.42,14,6.28
2017-01-10 06:00:00,2017-01-10 06:08:00,"Tuesday",0,6,8,4.95
2017-01-10 06:01:00,2017-01-10 06:46:00,"Tuesday",0,6.02,45,15.81
2017-01-10 06:11:00,2017-01-10 06:35:00,"Tuesday",0,6.18,24,15.77
2017-01-10 06:24:00,2017-01-10 06:41:00,"Tuesday",0,6.4,17,12.11
2017-01-10 06:36:00,2017-01-10 12:58:00,"Tuesday",0,6.6,382,10.76
2017-01-10 06:47:00,2017-01-10 06:50:00,"Tuesday",0,6.78,3,1.72
2017-01-10 07:04:00,2017-01-10 07:24:00,"Tuesday",0,7.07,20,10.45
2017-01-10 07:24:00,2017-01-10 09:58:00,"Tuesday",0,7.4,154,12.241
2017-01-10 07:25:00,2017-01-10 07:34:00,"Tuesday",0,7.42,9,2.58
2017-01-10 07:41:00,2017-01-10 07:58:00,"Tuesday",0,7.68,17,6.44
2017-01-10 07:57:00,2017-01-10 08:29:00,"Tuesday",0,7.95,32,12.09
2017-01-10 08:07:00,2017-01-10 08:30:00,"Tuesday",0,8.12,23,10.72
2017-01-10 08:15:00,2017-01-10 08:40:00,"Tuesday",0,8.25,25,4.55
2017-01-10 08:34:00,2017-01-10 08:53:00,"Tuesday",0,8.57,19,6.83
2017-01-10 08:56:00,2017-01-10 09:10:00,"Tuesday",0,8.93,14,6.4
2017-01-10 09:07:00,2017-01-10 09:17:00,"Tuesday",0,9.12,10,1.72
2017-01-10 09:12:00,2017-01-10 09:45:00,"Tuesday",0,9.2,33,15.86
2017-01-10 09:47:00,2017-01-10 09:56:00,"Tuesday",0,9.78,9,2.42
2017-01-10 09:59:00,2017-01-10 10:14:00,"Tuesday",0,9.98,15,4.47
2017-01-10 10:17:00,2017-01-10 12:29:00,"Tuesday",0,10.28,132,8.277
2017-01-10 10:18:00,2017-01-10 10:27:00,"Tuesday",0,10.3,9,3.86
2017-01-10 10:20:00,2017-01-10 12:39:00,"Tuesday",0,10.33,139,6.97
2017-01-10 10:32:00,2017-01-10 10:52:00,"Tuesday",0,10.53,20,9.78
2017-01-10 10:54:00,2017-01-10 11:02:00,"Tuesday",0,10.9,8,3.13
2017-01-10 11:15:00,2017-01-10 11:28:00,"Tuesday",0,11.25,13,7.18
2017-01-10 11:31:00,2017-01-10 12:12:00,"Tuesday",0,11.52,41,2.362
2017-01-10 11:31:00,2017-01-10 11:38:00,"Tuesday",0,11.52,7,2.56
2017-01-10 11:40:00,2017-01-10 11:55:00,"Tuesday",0,11.67,15,3.356
2017-01-10 11:47:00,2017-01-10 13:10:00,"Tuesday",0,11.78,83,4.58
2017-01-10 11:51:00,2017-01-10 14:06:00,"Tuesday",0,11.85,135,7.896
2017-01-10 11:56:00,2017-01-10 13:05:00,"Tuesday",0,11.93,69,13.229
2017-01-10 12:04:00,2017-01-10 12:12:00,"Tuesday",0,12.07,8,3.74
2017-01-10 12:07:00,2017-01-10 12:28:00,"Tuesday",0,12.12,21,3.84
2017-01-10 12:14:00,2017-01-10 12:58:00,"Tuesday",0,12.23,44,4.65
